WALL_SPEED 1.128809e+01, WALL_MASS 3.000000e+02, L_density_value 1300.000000,  H_density_value 2700.000000
       
number_of_files        wall_force      wall_force_x
0 -3.000000e+02 0.000000e+00
1 -3.000000e+02 0.000000e+00
2 -3.000000e+02 0.000000e+00
3 -3.000000e+02 0.000000e+00
4 -3.000000e+02 0.000000e+00
5 -3.000000e+02 0.000000e+00
6 -3.000000e+02 0.000000e+00
7 -3.000000e+02 0.000000e+00
8 -3.000000e+02 0.000000e+00
9 -3.000000e+02 0.000000e+00
10 -3.000000e+02 0.000000e+00
11 -3.000000e+02 0.000000e+00
12 -3.000000e+02 0.000000e+00
13 -3.000000e+02 0.000000e+00
14 -3.000000e+02 0.000000e+00
15 -3.000000e+02 0.000000e+00
16 -3.000000e+02 0.000000e+00
17 -3.000000e+02 0.000000e+00
18 -3.000000e+02 0.000000e+00
19 -3.000000e+02 0.000000e+00
20 -3.000000e+02 0.000000e+00
21 -3.000000e+02 0.000000e+00
22 -3.000000e+02 0.000000e+00
23 -3.000000e+02 0.000000e+00
24 -3.000000e+02 0.000000e+00
25 -3.000000e+02 0.000000e+00
26 -3.000000e+02 0.000000e+00
27 -3.000000e+02 0.000000e+00
28 -3.000000e+02 0.000000e+00
29 -3.000000e+02 0.000000e+00
30 -3.000000e+02 0.000000e+00
31 -3.000000e+02 0.000000e+00
32 -3.000000e+02 0.000000e+00
33 -3.000000e+02 0.000000e+00
34 -3.000000e+02 0.000000e+00
35 -3.000000e+02 0.000000e+00
36 -3.000000e+02 0.000000e+00
37 -3.000000e+02 0.000000e+00
38 -3.000000e+02 0.000000e+00
39 -3.000000e+02 0.000000e+00
40 -3.000000e+02 0.000000e+00
41 -3.000000e+02 0.000000e+00
42 -3.000000e+02 0.000000e+00
43 -3.000000e+02 0.000000e+00
44 -3.000000e+02 0.000000e+00
45 -3.000000e+02 0.000000e+00
46 -3.000000e+02 0.000000e+00
47 -3.000000e+02 0.000000e+00
48 -3.000000e+02 0.000000e+00
49 -3.000000e+02 0.000000e+00
50 -3.000000e+02 0.000000e+00
51 -3.000000e+02 0.000000e+00
52 -3.000000e+02 0.000000e+00
53 -3.000000e+02 0.000000e+00
54 -3.000000e+02 0.000000e+00
55 -3.000000e+02 0.000000e+00
56 -3.000000e+02 0.000000e+00
57 -3.000000e+02 0.000000e+00
58 -3.000000e+02 0.000000e+00
59 -3.000000e+02 0.000000e+00
60 -3.000000e+02 0.000000e+00
61 -3.000000e+02 0.000000e+00
62 -3.000000e+02 0.000000e+00
63 -3.000000e+02 0.000000e+00
64 -3.000000e+02 0.000000e+00
65 -3.000000e+02 0.000000e+00
66 -3.000000e+02 0.000000e+00
67 -3.000000e+02 0.000000e+00
68 -3.000000e+02 0.000000e+00
69 -3.000000e+02 0.000000e+00
70 -3.000000e+02 0.000000e+00
71 -3.000000e+02 0.000000e+00
72 -3.000000e+02 0.000000e+00
73 -3.000000e+02 0.000000e+00
74 -3.000000e+02 0.000000e+00
75 -3.000000e+02 0.000000e+00
76 -3.000000e+02 0.000000e+00
77 -3.000000e+02 0.000000e+00
78 -3.000000e+02 0.000000e+00
79 -3.000000e+02 0.000000e+00
